Date,Price
16-Nov-18,24.62
19-Nov-18,25
21-Nov-18,24.82
22-Nov-18,24.8
23-Nov-18,24.8
26-Nov-18,24.94
27-Nov-18,24.8
28-Nov-18,24.88
29-Nov-18,24.9
30-Nov-18,24.92
3-Dec-18,24.88
4-Dec-18,24.88
5-Dec-18,24.88
6-Dec-18,24.88
7-Dec-18,24.8
10-Dec-18,24.7
11-Dec-18,24.5
12-Dec-18,24.9
13-Dec-18,24.98
14-Dec-18,24.74
17-Dec-18,24.22
18-Dec-18,24.26
19-Dec-18,24.66
20-Dec-18,24.66
21-Dec-18,24.68
24-Dec-18,24.78
26-Dec-18,24.76
27-Dec-18,24.88
28-Dec-18,24.88
31-Dec-18,24.76
2-Jan-19,24.66
3-Jan-19,24.6
4-Jan-19,24.66
7-Jan-19,24.7
8-Jan-19,24.66
9-Jan-19,24.68
10-Jan-19,24.8
11-Jan-19,24.76
14-Jan-19,24.7
15-Jan-19,24.98
16-Jan-19,24.7
17-Jan-19,24.68
18-Jan-19,24.8
22-Jan-19,25.18
23-Jan-19,24.8
24-Jan-19,24.82
25-Jan-19,24.8
28-Jan-19,24.82
29-Jan-19,24.8
30-Jan-19,24.82
31-Jan-19,24.78
4-Feb-19,24.82
7-Feb-19,24.86
8-Feb-19,24.92
11-Feb-19,25.08
12-Feb-19,24.96
13-Feb-19,24.96
14-Feb-19,24.94
15-Feb-19,24.92
18-Feb-19,25
19-Feb-19,25
20-Feb-19,25.06
21-Feb-19,25
22-Feb-19,24.98
25-Feb-19,25.02
26-Feb-19,25.06
27-Feb-19,25.06
28-Feb-19,25
1-Mar-19,25.02
4-Mar-19,25
5-Mar-19,24.6
6-Mar-19,24.52
7-Mar-19,24.54
8-Mar-19,24.5
11-Mar-19,24.2
12-Mar-19,24.4
13-Mar-19,24.48
14-Mar-19,24.44
15-Mar-19,24.48
18-Mar-19,24.48
19-Mar-19,24.48
20-Mar-19,24.46
21-Mar-19,23.86
22-Mar-19,23.86
25-Mar-19,23.76
26-Mar-19,23.74
27-Mar-19,23.4
28-Mar-19,23.28
29-Mar-19,23.16
1-Apr-19,22.48
2-Apr-19,22.7
3-Apr-19,23
4-Apr-19,22.98
5-Apr-19,22.88
8-Apr-19,22.62
9-Apr-19,22.58
10-Apr-19,22.64
11-Apr-19,22.62
12-Apr-19,22.6
15-Apr-19,22.58
16-Apr-19,22.6
17-Apr-19,22.6
18-Apr-19,22.58
19-Apr-19,22.52
22-Apr-19,22.54
23-Apr-19,22.6
24-Apr-19,22.64
25-Apr-19,22.6
26-Apr-19,22.64
29-Apr-19,22.56
30-Apr-19,22.5
2-May-19,22.48
3-May-19,22.54
6-May-19,22.56
7-May-19,22.48
8-May-19,22.4
9-May-19,22.28
10-May-19,22.26
13-May-19,22.32
14-May-19,22.46
15-May-19,22.48
16-May-19,22.26
17-May-19,22.42
21-May-19,22.48
23-May-19,22.5
24-May-19,22.52
27-May-19,22.78
28-May-19,23.12
29-May-19,23
30-May-19,23.6
31-May-19,23.6
3-Jun-19,23.54
4-Jun-19,23.42
7-Jun-19,23.42
10-Jun-19,23.5
11-Jun-19,23.48
12-Jun-19,23.48
13-Jun-19,23.42
14-Jun-19,23.12
17-Jun-19,23.02
18-Jun-19,23.04
19-Jun-19,23.1
20-Jun-19,23.08
21-Jun-19,23.06
24-Jun-19,23.02
25-Jun-19,23.02
26-Jun-19,23.02
27-Jun-19,23.16
28-Jun-19,23
1-Jul-19,23
2-Jul-19,23
3-Jul-19,23
4-Jul-19,23
5-Jul-19,23
8-Jul-19,22.98
9-Jul-19,23.06
10-Jul-19,23.12
11-Jul-19,23
12-Jul-19,22.96
15-Jul-19,22.98
16-Jul-19,22.98
17-Jul-19,22.96
18-Jul-19,22.86
19-Jul-19,22.88
22-Jul-19,22.88
23-Jul-19,22.8
24-Jul-19,22.7
25-Jul-19,22.68
26-Jul-19,22.42
29-Jul-19,22.2
31-Jul-19,21.9
1-Aug-19,21.82
2-Aug-19,21.78
5-Aug-19,21.56
6-Aug-19,21.6
7-Aug-19,21.28
8-Aug-19,21.42
9-Aug-19,21.52
13-Aug-19,20.74
14-Aug-19,20.8
15-Aug-19,20.8
16-Aug-19,20.8
19-Aug-19,20.76
20-Aug-19,20.8
21-Aug-19,20.74
22-Aug-19,20.8
23-Aug-19,20.82
26-Aug-19,20.8
27-Aug-19,20.7
28-Aug-19,20.32
29-Aug-19,20.32
30-Aug-19,20.32
3-Sep-19,20.08
4-Sep-19,20.26
5-Sep-19,20.24
6-Sep-19,20.2
10-Sep-19,20.16
11-Sep-19,20.16
12-Sep-19,20.14
13-Sep-19,20.14
17-Sep-19,20.16
18-Sep-19,20.16
19-Sep-19,20.16
20-Sep-19,20.16
23-Sep-19,20.14
24-Sep-19,20.1
25-Sep-19,20.04
26-Sep-19,20.1
27-Sep-19,20.04
30-Sep-19,20.08
1-Oct-19,20
2-Oct-19,19.7
3-Oct-19,19.28
4-Oct-19,19.28
7-Oct-19,19.34
8-Oct-19,19.3
9-Oct-19,19.12
10-Oct-19,19.18
11-Oct-19,19.08
14-Oct-19,19.16
15-Oct-19,19.26
16-Oct-19,19.26
17-Oct-19,19.28
18-Oct-19,19.28
21-Oct-19,19.28
22-Oct-19,19.3
23-Oct-19,19.26
24-Oct-19,19.22
25-Oct-19,19.26
29-Oct-19,19.34
30-Oct-19,19.4
31-Oct-19,20.3
1-Nov-19,19.8
4-Nov-19,19.8
5-Nov-19,19.86
6-Nov-19,19.8
7-Nov-19,19.86
8-Nov-19,19.94
11-Nov-19,20
12-Nov-19,19.98
13-Nov-19,19.96
14-Nov-19,19.96
15-Nov-19,19.9
18-Nov-19,19.88
19-Nov-19,20
